_RAJ2000,_DEJ2000,SDSS,z,F1.4GHz,F[OIII],rmag,Dn,sigma*,Cr,logLr,logL[OIII],logMBH,SimbadName,_RA,_DE
11 55 08.9700,+23 26 23.400,J115508.97+232623.4,0.144,26.4,12.6,17.279,2.0,245,2.98,40.34,39.87,8.5,SDSS J115508.97+232623.4,178.78737,23.43983
11 57 29.6000,+29 23 08.100,J115729.60+292308.1,0.14,16.6,9.3,17.195,2.01,224,3.32,40.11,39.71,8.3,SDSS J115729.60+292308.1,179.37333,29.38558
11 58 16.3700,+34 06 05.900,J115816.37+340605.9,0.131,19.8,26.3,16.311,1.85,221,3.16,40.13,40.11,8.3,SDSS J115816.37+340605.9,179.56821,34.10164
11 59 36.0500,+23 39 47.500,J115936.05+233947.5,0.142,31.8,5.0,16.51,1.92,282,3.51,40.41,39.45,8.7,SDSS J115936.05+233947.5,179.90021,23.66319
12 00 21.9300,-02 01 52.700,J120021.93-020152.7,0.146,40.4,24.8,16.336,2.04,248,3.12,40.54,40.18,8.5,SDSS J120021.93-020152.7,180.09137,-2.03131
12 04 01.4700,+20 13 56.300,J120401.47+201356.3,0.024,402.1,111.6,12.997,1.81,270,3.25,39.91,39.21,8.7,SDSS J120401.47+201356.3,181.00612,20.23231
12 04 25.2900,+03 45 10.600,J120425.29+034510.6,0.149,54.7,4.2,16.608,1.95,248,3.14,40.69,39.43,8.5,SDSS J120425.29+034510.6,181.10537,3.75294
12 05 22.2900,+05 09 41.400,J120522.29+050941.4,0.136,105.0,0.6,16.002,2.02,335,3.47,40.88,38.49,9.0,SDSS J120522.29+050941.4,181.34287,5.1615
12 09 43.6200,-02 04 59.600,J120943.62-020459.6,0.1,32.3,23.3,15.922,1.98,253,3.34,40.09,39.8,8.5,SDSS J120943.62-020459.6,182.43175,-2.08322
12 11 10.9900,+06 07 44.100,J121110.99+060744.1,0.139,50.9,12.8,16.154,1.94,221,3.12,40.59,39.84,8.3,SDSS J121110.99+060744.1,182.79579,6.12892
12 11 14.0700,+06 08 33.900,J121114.07+060833.9,0.138,78.5,11.1,16.143,1.96,238,3.18,40.78,39.78,8.4,SDSS J121114.08+060833.9,182.80862,6.14275
12 11 21.1200,+14 14 39.200,J121121.12+141439.2,0.064,62.0,56.4,14.783,2.03,233,3.13,39.96,39.77,8.4,SDSS J121121.12+141439.2,182.838,14.24422
12 13 32.9300,+07 25 16.900,J121332.93+072516.9,0.137,17.2,10.9,15.739,1.92,242,3.0,40.11,39.76,8.5,SDSS J121332.93+072516.9,183.38721,7.42136
12 15 19.1900,+47 21 42.400,J121519.19+472142.4,0.146,31.1,2.9,17.108,0.0,193,3.09,40.42,39.25,8.1,SDSS J121519.19+472142.4,183.82996,47.36178
12 15 34.1800,+13 56 35.000,J121534.18+135635.0,0.093,30.9,21.1,15.362,2.04,303,3.15,40.0,39.69,8.9,SDSS J121534.18+135635.0,183.89242,13.94306
12 15 43.8200,+17 09 17.600,J121543.82+170917.6,0.095,460.0,40.0,14.538,1.99,312,2.86,41.19,39.99,8.9,SDSS J121543.82+170917.6,183.93258,17.15489
12 16 19.9500,+15 54 17.700,J121619.95+155417.7,0.093,77.2,19.0,15.228,1.81,210,3.11,40.4,39.64,8.2,SDSS J121619.95+155417.7,184.08312,15.90492
12 16 40.1200,+03 42 31.500,J121640.12+034231.5,0.08,207.0,24.0,15.677,1.99,243,3.22,40.69,39.61,8.5,SDSS J121640.12+034231.5,184.16717,3.70875
12 21 56.1600,+02 04 50.800,J122156.16+020450.8,0.126,119.5,9.5,16.885,1.92,232,3.4,40.87,39.62,8.4,SDSS J122156.16+020450.8,185.484,2.08078
12 25 32.0900,+19 26 15.200,J122532.09+192615.2,0.129,25.6,23.9,17.363,1.82,192,3.05,40.22,40.05,8.1,SDSS J122532.09+192615.2,186.38371,19.43756
12 26 22.4900,+64 06 22.000,J122622.49+640622.0,0.11,81.0,43.6,15.516,1.82,257,3.09,40.58,40.16,8.6,SDSS J122622.50+640622.0,186.59371,64.10611
12 26 40.8300,+43 05 09.200,J122640.83+430509.2,0.074,33.5,18.4,14.836,1.98,272,3.15,39.83,39.42,8.7,SDSS J122640.83+430509.3,186.67012,43.08589
12 31 28.9300,+49 15 37.000,J123128.93+491537.0,0.111,52.1,5.1,16.192,1.85,217,3.06,40.39,39.24,8.3,SDSS J123128.93+491537.0,187.87054,49.26028
12 41 35.9400,+16 20 33.600,J124135.94+162033.6,0.07,165.0,77.2,15.04,1.95,305,3.31,40.47,39.99,8.9,SDSS J124135.94+162033.7,190.39975,16.34267
12 42 07.3800,+50 21 46.600,J124207.38+502146.6,0.148,102.0,14.3,16.365,1.97,237,3.33,40.95,39.95,8.4,SDSS J124207.38+502146.6,190.53075,50.36294
